source_plot,cluster,subclass
57,Astro_1,Astro
58,Astro_1,Astro
60,Astro_1,Astro
61,Astro_1,Astro
63,Astro_1,Astro
64,Astro_1,Astro
ASC.1,Astro_1,Astro
ASC.18,Astro_1,Astro
ASC.2,Astro_1,Astro
ASC.3,Astro_1,Astro
ASC.4,Astro_1,Astro
52,Astro_2,Astro
53,Astro_2,Astro
54,Astro_2,Astro
55,Astro_2,Astro
ASC.12,Astro_2,Astro
ASC.14,Astro_2,Astro
ASC.17,Astro_2,Astro
ASC.5,Astro_2,Astro
ASC.6,Astro_2,Astro
ASC.7,Astro_2,Astro
ASC.8,Astro_2,Astro
ASC.9,Astro_2,Astro
264,Chandelier_1,Chandelier
265,Chandelier_1,Chandelier
266,Chandelier_1,Chandelier
PV_CHC.1,Chandelier_1,Chandelier
PV_CHC.2,Chandelier_1,Chandelier
PV_CHC.3,Chandelier_1,Chandelier
PV_CHC.4,Chandelier_1,Chandelier
PV_CHC.5,Chandelier_1,Chandelier
14,Endo_1,Endo
15,Endo_1,Endo
16,Endo_1,Endo
17,Endo_1,Endo
18,Endo_1,Endo
19,Endo_1,Endo
20,Endo_1,Endo
21,Endo_1,Endo
22,Endo_1,Endo
EC.1,Endo_1,Endo
EC.2,Endo_1,Endo
164,L2/3 IT_1,L2/3 IT
165,L2/3 IT_1,L2/3 IT
166,L2/3 IT_1,L2/3 IT
168,L2/3 IT_1,L2/3 IT
170,L2/3 IT_1,L2/3 IT
177,L2/3 IT_1,L2/3 IT
178,L2/3 IT_1,L2/3 IT
L2/3/4.4,L2/3 IT_1,L2/3 IT
126,L2/3 IT_2,L2/3 IT
167,L2/3 IT_2,L2/3 IT
L2/3.1,L2/3 IT_2,L2/3 IT
L2/3.10,L2/3 IT_2,L2/3 IT
L2/3.11,L2/3 IT_2,L2/3 IT
L2/3.18,L2/3 IT_2,L2/3 IT
124,L2/3 IT_3,L2/3 IT
125,L2/3 IT_3,L2/3 IT
L2.4,L2/3 IT_3,L2/3 IT
L2/3.5,L2/3 IT_3,L2/3 IT
L3/4.17,L2/3 IT_3,L2/3 IT
129,L2/3 IT_4,L2/3 IT
130,L2/3 IT_4,L2/3 IT
131,L2/3 IT_4,L2/3 IT
L2/3.13,L2/3 IT_4,L2/3 IT
L2/3.7,L2/3 IT_4,L2/3 IT
L3/4.2,L2/3 IT_4,L2/3 IT
L3/4.3,L2/3 IT_4,L2/3 IT
L3/4.8,L2/3 IT_4,L2/3 IT
L3/4/5.1,L2/3 IT_4,L2/3 IT
120,L2/3 IT_5,L2/3 IT
121,L2/3 IT_5,L2/3 IT
L2.1,L2/3 IT_5,L2/3 IT
L2.2,L2/3 IT_5,L2/3 IT
L2.7,L2/3 IT_5,L2/3 IT
L2/3.17,L2/3 IT_5,L2/3 IT
L2/3.20,L2/3 IT_5,L2/3 IT
L2/3.9,L2/3 IT_5,L2/3 IT
122,L2/3 IT_6,L2/3 IT
123,L2/3 IT_6,L2/3 IT
L2.3,L2/3 IT_6,L2/3 IT
L2.5,L2/3 IT_6,L2/3 IT
L2.6,L2/3 IT_6,L2/3 IT
L2.8,L2/3 IT_6,L2/3 IT
L2.9,L2/3 IT_6,L2/3 IT
L2/3.12,L2/3 IT_6,L2/3 IT
L2/3.14,L2/3 IT_6,L2/3 IT
L2/3.15,L2/3 IT_6,L2/3 IT
L2/3.23,L2/3 IT_6,L2/3 IT
L2/3.3,L2/3 IT_6,L2/3 IT
L2/3.6,L2/3 IT_6,L2/3 IT
L2/3.8,L2/3 IT_6,L2/3 IT
L2/3/4.3,L2/3 IT_6,L2/3 IT
128,L2/3 IT_7,L2/3 IT
134,L2/3 IT_7,L2/3 IT
L3/4.10,L2/3 IT_7,L2/3 IT
L3/4.4,L2/3 IT_7,L2/3 IT
127,L2/3 IT_8,L2/3 IT
L2/3/4.1,L2/3 IT_8,L2/3 IT
L3/4.12,L2/3 IT_8,L2/3 IT
L3/4.6,L2/3 IT_8,L2/3 IT
135,L4 IT_1,L4 IT
136,L4 IT_1,L4 IT
L3/4.1,L4 IT_1,L4 IT
L3/4.15,L4 IT_1,L4 IT
L4.1,L4 IT_1,L4 IT
132,L4 IT_2,L4 IT
138,L4 IT_2,L4 IT
L4.10,L4 IT_2,L4 IT
L4.2,L4 IT_2,L4 IT
L4.3,L4 IT_2,L4 IT
L4.5,L4 IT_2,L4 IT
L4.6,L4 IT_2,L4 IT
L4.7,L4 IT_2,L4 IT
L4.9,L4 IT_2,L4 IT
133,L4 IT_3,L4 IT
L3/4.11,L4 IT_3,L4 IT
L3/4.13,L4 IT_3,L4 IT
L3/4.7,L4 IT_3,L4 IT
L3/4.9,L4 IT_3,L4 IT
L4.4,L4 IT_3,L4 IT
L4.8,L4 IT_3,L4 IT
113,L5 ET_1,L5 ET
114,L5 ET_1,L5 ET
116,L5 ET_1,L5 ET
117,L5 ET_1,L5 ET
118,L5 ET_1,L5 ET
L4/5.6,L5 ET_1,L5 ET
137,L5 IT_1,L5 IT
L4/5.14,L5 IT_1,L5 IT
L4/5.15,L5 IT_1,L5 IT
L4/5/6.1,L5 IT_1,L5 IT
L4/5/6.4,L5 IT_1,L5 IT
143,L5 IT_2,L5 IT
144,L5 IT_2,L5 IT
