index,label,gyrus,lobe,,
0,Unknown,Unknown,Unknown,,
1,A8m_L,SFG,Frontal,,
2,A8m_R,SFG,Frontal,,
3,A8dl_L,SFG,Frontal,,
4,A8dl_R,SFG,Frontal,,
5,A9l_L,SFG,Frontal,,
6,A9l_R,SFG,Frontal,,
7,A6dl_L,SFG,Frontal,,
8,A6dl_R,SFG,Frontal,,
9,A6m_L,SFG,Frontal,,
10,A6m_R,SFG,Frontal,,
11,A9m_L,SFG,Frontal,,
12,A9m_R,SFG,Frontal,,
13,A10m_L,SFG,Frontal,,
14,A10m_R,SFG,Frontal,,
15,A9/46d_L,MFG,Frontal,,
16,A9/46d_R,MFG,Frontal,,
17,IFJ_L,MFG,Frontal,,
18,IFJ_R,MFG,Frontal,,
19,A46_L,MFG,Frontal,,
20,A46_R,MFG,Frontal,,
21,A9/46v_L,MFG,Frontal,,
22,A9/46v_R,MFG,Frontal,,
23,A8vl_L,MFG,Frontal,,
24,A8vl_R,MFG,Frontal,,
25,A6vl_L,MFG,Frontal,,
26,A6vl_R,MFG,Frontal,,
27,A10l_L,MFG,Frontal,,
28,A10l_R,MFG,Frontal,,
29,A44d_L,IFG,Frontal,,
30,A44d_R,IFG,Frontal,,
31,IFS_L,IFG,Frontal,,
32,IFS_R,IFG,Frontal,,
33,A45c_L,IFG,Frontal,,
34,A45c_R,IFG,Frontal,,
35,A45r_L,IFG,Frontal,,
36,A45r_R,IFG,Frontal,,
37,A44op_L,IFG,Frontal,,
38,A44op_R,IFG,Frontal,,
39,A44v_L,IFG,Frontal,,
40,A44v_R,IFG,Frontal,,
41,A14m_L,OrG,Frontal,,
42,A14m_R,OrG,Frontal,,
43,A12/47o_L,OrG,Frontal,,
44,A12/47o_R,OrG,Frontal,,
45,A11l_L,OrG,Frontal,,
46,A11l_R,OrG,Frontal,,
47,A11m_L,OrG,Frontal,,
48,A11m_R,OrG,Frontal,,
49,A13_L,OrG,Frontal,,
50,A13_R,OrG,Frontal,,
51,A12/47l_L,OrG,Frontal,,
52,A12/47l_R,OrG,Frontal,,
53,A4hf_L,PrG,Frontal,SM,
54,A4hf_R,PrG,Frontal,SM,
55,A6cdl_L,PrG,Frontal,SM,
56,A6cdl_R,PrG,Frontal,SM,
57,A4ul_L,PrG,Frontal,SM,
58,A4ul_R,PrG,Frontal,SM,
59,A4t_L,PrG,Frontal,SM,
60,A4t_R,PrG,Frontal,SM,
61,A4tl_L,PrG,Frontal,SM,
62,A4tl_R,PrG,Frontal,SM,
63,A6cvl_L,PrG,Frontal,SM,
64,A6cvl_R,PrG,Frontal,SM,
65,A1/2/3ll_L,PCL,Frontal,SM,
66,A1/2/3ll_R,PCL,Frontal,SM,
67,A4ll_L,PCL,Frontal,SM,
68,A4ll_R,PCL,Frontal,SM,
69,A38m_L,STG,Temporal,,
70,A38m_R,STG,Temporal,,
71,A41/42_L,STG,Temporal,,
72,A41/42_R,STG,Temporal,,
73,TE1.0/TE1.2_L,STG,Temporal,,
74,TE1.0/TE1.2_R,STG,Temporal,,
75,A22c_L,STG,Temporal,,
76,A22c_R,STG,Temporal,,
77,A38l_L,STG,Temporal,,
78,A38l_R,STG,Temporal,,
79,A22r_L,STG,Temporal,,
80,A22r_R,STG,Temporal,,
81,A21c_L,MTG,Temporal,,
82,A21c_R,MTG,Temporal,,
83,A21r_L,MTG,Temporal,,
84,A21r_R,MTG,Temporal,,
85,A37dl_L,MTG,Temporal,,
86,A37dl_R,MTG,Temporal,,
87,aSTS_L,MTG,Temporal,,
88,aSTS_R,MTG,Temporal,,
89,A20iv_L,ITG,Temporal,,
90,A20iv_R,ITG,Temporal,,
91,A37elv_L,ITG,Temporal,,
92,A37elv_R,ITG,Temporal,,
93,A20r_L,ITG,Temporal,,
94,A20r_R,ITG,Temporal,,
95,A20il_L,ITG,Temporal,,
96,A20il_R,ITG,Temporal,,
97,A37vl_L,ITG,Temporal,,
98,A37vl_R,ITG,Temporal,,
99,A20cl_L,ITG,Temporal,,
