,region_abbr,is_cortex,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
2,8Bm,cortex_ST,Frontal,8B,8Bm,dorso-medial prefrontal area
3,11l,cortex_ST,Frontal,11,11l,orbital prefrontal area
5,14r,cortex_ST,Frontal,14,14r,orbito-medial prefrontal area (gyrus rectus)
7,Ia,cortex_ST,Insular,INSULA,Ia,agranular insula
8,13b,cortex_ST,Frontal,13,13b,orbital prefrontal area
10,36c,cortex_ST,Temporal,PERIRHINAL,36,"area 36 of the perirhinal cortex, caudal subregion"
11,24a',cortex_ST,Limbic,24,24a',subregion of anterior cingulate cortex
14,10mc,cortex_ST,Frontal,10,10m,medial prefrontal area
15,CPB,cortex_ST,Temporal,PARABELT,CPB,caudal parabelt region of the auditory cortex
16,29,cortex_ST,Limbic,RETROSPLENIAL,29,retrosplenial cortex
17,v23b,cortex_ST,Limbic,v23,v23b,subregion of posterior cingulate cortex
18,13l,cortex_ST,Frontal,13,13l,orbital prefrontal area
20,V4,cortex_ST,Occipital,V4,V4,visual area 4 (dorsal part)
23,31,cortex_ST,Limbic,31,31,posterior cingulate area
24,Ig,cortex_ST,Insular,INSULA,Ig,granular insula
25,ML,cortex_ST,Temporal,BELT,LB,"middle lateral, belt region of the auditory cortex"
27,23a,cortex_ST,Limbic,23,23a,subregion of posterior cingulate cortex
28,ER,cortex_ST,Temporal,ENTORHINAL,ER,"entorhinal cortex, rostral division"
29,10o,cortex_ST,Frontal,10,10o,orbital prefrontal area
30,VIP,cortex_ST,Parietal,VIP,VIP,ventral intraparietal area
31,LIPv,cortex_ST,Parietal,LIP,LIPv,"lateral intraparietal area, ventral subdivision"
32,8Bs,cortex_ST,Frontal,8B,8Bs,dorso-lateral prefrontal area in the arcuate sulcus upper limb
34,V1,cortex_ST,Occipital,V1,V1,visual area 1 (primary visual cortex)
35,G,cortex_ST,Insular,G,G,gustatory cortex
37,9d,cortex_ST,Frontal,9,9d,dorso-lateral prefrontal area
38,7op,cortex_ST,Parietal,7op,7op,parietal opercular area
39,V4t,cortex_ST,Occipital,V4t,V4t,V4 transitional area
41,46f,true,Frontal,,,
43,5_(PE),cortex_ST,Parietal,5,PE,superior parietal lobule area (or 5)
44,TEav,cortex_ST,Temporal,TE,TEav,ventral subregion of anterior TE
45,32,cortex_ST,Limbic,32,32,medial prefrontal area
46,AL,cortex_ST,Temporal,BELT,LB,"anterior lateral, belt region of the auditory cortex"
47,10mr,cortex_ST,Frontal,10,10m,medial prefrontal area
49,24b,cortex_ST,Limbic,24,24b,subregion of anterior cingulate cortex
50,1-2,cortex_ST,Parietal,1-2,1-2,somatosensory areas 1 and 2
51,8Av,cortex_ST,Frontal,8A/FEF,8Av,"periarcuate area (or frontal eye field), ventral subdivison"
52,ECL,cortex_ST,Temporal,ENTORHINAL,ECL,"entorhinal cortex, caudal limiting division"
53,FST,cortex_ST,Temporal,FST,FST,floor of superior temporal area
55,12m,cortex_ST,Frontal,12,12m,orbital prefrontal area
56,V6Av,cortex_ST,Parietal,V6A,V6Av,"visual area 6A, ventral division (or PO)"
57,8Bd,cortex_ST,Frontal,8B,8Bd,dorso-lateral prefrontal area
59,TGvd,cortex_ST,Temporal,POLE,TGvd,ventral dysgranular part of the temporal pole
60,V3d,cortex_ST,Occipital,V3,V3d,"visual area 3, dorsal part"
61,F1_(4),cortex_ST,Frontal,F1,F1,agranular frontal area F1 (or 4)
62,Iam,cortex_ST,Frontal,Agranular insula,Iam,medial agranular insula ar ea
63,SII,cortex_ST,Parietal,SII,SII,secondary somatosensory area
64,23b,cortex_ST,Limbic,23,23b,subregion of posterior cingulate cortex
65,13m,cortex_ST,Frontal,13,13m,orbital prefrontal area
66,9m,cortex_ST,Frontal,9,9m,dorso-medial prefrontal area
67,EI,cortex_ST,Temporal,ENTORHINAL,EI,"entorhinal cortex, intermediate division"
68,RPB,cortex_ST,Temporal,PARABELT,RPB,rostral parabelt region of the auditory cortex
69,13a,cortex_ST,Frontal,13,13a,orbital prefrontal area
70,AONd/m,cortex_ST,Frontal,,,
71,F3,cortex_ST,Frontal,PRESMA,F3,agranular frontal area F3 (or SMA)
72,R,cortex_ST,Temporal,CORE,CORE,"rostral, core region of the auditory cortex"
73,V6,cortex_ST,Parietal,V6,V6,visual area 6 (or PO)
74,TFO,cortex_ST,Temporal,PARAHIPPOCAMPAL,TFO,area TFO of the parahippocampal cortex
75,V4v,cortex_ST,Occipital,V4,V4v,"visual area 4, ventral part"
76,46v,cortex_ST,Frontal,46,46v,ventro-lateral prefrontal area in the ventral bank and lip of the principal sulcus (ps)
77,5_(PEc),cortex_ST,Parietal,5,PEc,superior parietal lobule area (or 5)
78,TGdd,cortex_ST,Temporal,POLE,TGdd,dysgranular part of the dorsal temporal pole
79,35,cortex_ST,Temporal,PERIRHINAL,35,area 35 of the perirhinal cortex
80,A1,cortex_ST,Temporal,CORE,CORE,"auditory area I, core region of the auditory cortex"
81,Ial,cortex_ST,Frontal,Agranular insula,Ial,lateral agranular insula area
82,7m_(PGm),cortex_ST,Parietal,PGm,PGm,medial parietal area (or 7m)
85,23c,cortex_ST,Limbic,23,23c,subregion of posterior cingulate cortex
86,EC,cortex_ST,Temporal,ENTORHINAL,EC,"entorhinal cortex, caudal division"
87,Id,cortex_ST,Insular,INSULA,Id,dysgranular insula
89,MIP,cortex_ST,Parietal,MIP,MIP,medial intraparietal area
90,PIP,cortex_ST,Parietal,PIP,PIP,posterior intraparietal area
91,7b_(PFG/PF),cortex_ST,Parietal,7B,7B,rostral inferior parietal lobule area (or 7b)
92,TEpd,cortex_ST,Temporal,TE,TEpd,dorsal subregion of posterior TE
93,V3v,cortex_ST,Occipital,V3,V3v,"visual ar ea 3, ventral part"
94,44,cortex_ST,Frontal,44,44,ventro-lateral prefr. area in the arcuate sulcus lower limb (asl)
95,MT,cortex_ST,Temporal,MT,MT,middle temporal area
96,TEm,cortex_ST,Temporal,TE,TEm,sts ventral bank area
97,Tpt,cortex_ST,Temporal,TPt,TPt,temporo-parietal area
98,24c,cortex_ST,Limbic,24,24c,subregion of anterior cingulate cortex
99,MST,cortex_ST,Temporal,MST,MST,medial superior temporal area
100,RM,cortex_ST,Temporal,BELT,MB,"rostromedial, belt region of the auditory cortex"
101,STGr,cortex_ST,Temporal,PARABELT,STGr,rostral superior temporal gyrus
102,Pi,cortex_ST,Insular,Parainsula,Pi,parainsular area
103,F6,cortex_ST,Frontal,PRESMA,F6,agranular frontal area F6 (or preSMA)
107,12r,cortex_ST,Frontal,12,12r,ventro-lateral prefrontal area
108,PrCO,cortex_ST,Frontal,PrCO,PrCO,precentral opercular area
109,PEci,cortex_ST,Parietal,PEci,PEci,superior parietal lobule area (cingulate sulcus)
110,TGdg,cortex_ST,Temporal,POLE,TGdg,granular part of the dorsal temporal pole
111,AIP,cortex_ST,Parietal,AIP,AIP,anterior intraparietal area
112,36p,cortex_ST,Temporal,PERIRHINAL,36,"area 36 of the perirhinal cortex, temporal-polar subregion"
