label,labbr,annotation,Region No.,Cortical lobe,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
300,8Bm,dorsomedial prefrontal area  ,118.0,prefrontal,Frontal Lobe,8B,8Bm,dorso-medial prefrontal area
301,11l,orbital prefrontal area,130.0,prefrontal,Frontal Lobe,11,11l,orbital prefrontal area
303,14r,orbito-medial prefrontal area (gyrus rectus),132.0,prefrontal,Frontal Lobe,14,14r,orbito-medial prefrontal area (gyrus rectus)
304,v23a,subregion of posterior cingulate cortex,,,,,,
305,Ia,agranular insula  ,79.0,insular,Insula Cortex,INSULA,Ia,agranular insula
306,13b,orbital prefrontal area	,141.0,prefrontal,Frontal Lobe,13,13b,orbital prefrontal area
308,36c,"area 36 of the perirhinal cortex, caudal subregion  ",41.0,temporal,"Temporal Lobe
",PERIRHINAL,36,"area 36 of the perirhinal cortex, caudal subregion"
309,24a',subregion of anterior cingulate cortex  ,94.0,cingulate,Limbic Lobe,24,24a',subregion of anterior cingulate cortex
312,10mc,medial prefrontal area,111.0,prefrontal,Frontal Lobe,10,10m,medial prefrontal area
313,CPB,caudal parabelt region of the auditory cortex,77.0,auditory,"Temporal Lobe
",PARABELT,CPB,caudal parabelt region of the auditory cortex
314,29,retrosplenial cortex,97.0,cingulate,Limbic Lobe,RETROSPLENIAL,29,retrosplenial cortex
315,v23b,subregion of posterior cingulate cortex  ,90.0,cingulate,Limbic Lobe,v23,v23b,subregion of posterior cingulate cortex
316,13l,orbital prefrontal area,139.0,prefrontal,Frontal Lobe,13,13l,orbital prefrontal area
318,V4,visual area 4 (dorsal part) ,6.0,occipital,Occipital Lobe,V4,V4,visual area 4 (dorsal part)
321,31,posterior cingulate area  ,99.0,cingulate,Limbic Lobe,31,31,posterior cingulate area
322,Ig,granular insula,80.0,insular,Insula Cortex,INSULA,Ig,granular insula
323,ML,"middle lateral, belt region of the auditory cortex ",73.0,auditory,"Temporal Lobe
",BELT,LB,"middle lateral, belt region of the auditory cortex"
325,23a,subregion of posterior cingulate cortex,87.0,cingulate,Limbic Lobe,23,23a,subregion of posterior cingulate cortex
326,ER,"entorhinal cortex, rostral division",48.0,temporal,"Temporal Lobe
",ENTORHINAL,ER,"entorhinal cortex, rostral division"
327,10o,orbital prefrontal area,112.0,prefrontal,Frontal Lobe,10,10o,orbital prefrontal area
328,VIP,ventral intraparietal area,16.0,parietal,Parietal Lobe,VIP,VIP,ventral intraparietal area
329,LIPv,"lateral intraparietal area, ventral subdivision",15.0,parietal,Parietal Lobe,LIP,LIPv,"lateral intraparietal area, ventral subdivision"
330,8Bs,dorso-lateral prefrontal area in the arcuate sulcus upper limb,119.0,prefrontal,Frontal Lobe,8B,8Bs,dorso-lateral prefrontal area in the arcuate sulcus upper limb
332,V1,visual area 1 (primary visual cortex),1.0,occipital,Occipital Lobe,V1,V1,visual area 1 (primary visual cortex)
333,G,gustatory cortex  ,83.0,somatosensory,Sensorimotor Cortex,G,G,gustatory cortex
335,9d,dorso-lateral prefrontal area,113.0,prefrontal,Frontal Lobe,9,9d,dorso-lateral prefrontal area
336,7op,parietal opercular area,9.0,parietal,Parietal Lobe,7op,7op,parietal opercular area
337,V4t,V4 transitional area,8.0,occipital,Occipital Lobe,V4t,V4t,V4 transitional area
339,46f,ventro-lateral prefrontal area in the fundus of the principal sulcus,,,,,,
341,5_(PE),superior parietal lobule area (or area PE),25.0,parietal,Parietal Lobe,5,PE,superior parietal lobule area (or 5)
342,TEav,ventral subregion of anterior TE  ,43.0,temporal,"Temporal Lobe
",TE,TEav,ventral subregion of anterior TE
343,32,medial prefrontal area,100.0,cingulate,Limbic Lobe,32,32,medial prefrontal area
344,AL,"anterior lateral, belt region of the auditory cortex",72.0,auditory,"Temporal Lobe
",BELT,LB,"anterior lateral, belt region of the auditory cortex"
345,10mr,medial prefrontal area,110.0,prefrontal,Frontal Lobe,10,10m,medial prefrontal area
347,24b,subregion of anterior cingulate cortex,92.0,cingulate,Limbic Lobe,24,24b,subregion of anterior cingulate cortex
348,1-2,somatosensory areas 1 and 2	,85.0,somatosensory,Sensorimotor Cortex,1-2,1-2,somatosensory areas 1 and 2
349,8Av,"periarcuate area (or frontal eye field), ventral subdivision",121.0,prefrontal,Frontal Lobe,8A/FEF,8Av,"periarcuate area (or frontal eye field), ventral subdivison"
350,ECL,"entorhinal cortex, caudal limiting division",54.0,temporal,"Temporal Lobe
",ENTORHINAL,ECL,"entorhinal cortex, caudal limiting division"
351,FST,floor of superior temporal area,34.0,temporal,"Temporal Lobe
",FST,FST,floor of superior temporal area
353,12m,orbital prefrontal area,137.0,prefrontal,Frontal Lobe,12,12m,orbital prefrontal area
354,V6Av,"visual area 6A, ventral division (or area PO)",24.0,parietal,Parietal Lobe,V6A,V6Av,"visual area 6A, ventral division (or PO)"
355,8Bd,dorso-lateral prefrontal area,117.0,prefrontal,Frontal Lobe,8B,8Bd,dorso-lateral prefrontal area
357,TGvd,ventral dysgranular part of the temporal pole,62.0,temporal,"Temporal Lobe
",POLE,TGvd,ventral dysgranular part of the temporal pole
358,V3d,"visual area 3, dorsal part",3.0,occipital,Occipital Lobe,V3,V3d,"visual area 3, dorsal part"
359,F1_(4),agranular frontal area F1 (or area 4),102.0,frontal,Sensorimotor Cortex,F1,F1,agranular frontal area F1 (or 4)
360,Iam,medial agranular insula area,126.0,prefrontal,Frontal Lobe,Agranular insula,Iam,medial agranular insula ar ea
361,SII,secondary somatosensory area,84.0,somatosensory,Sensorimotor Cortex,SII,SII,secondary somatosensory area
362,23b,subregion of posterior cingulate cortex,88.0,cingulate,Limbic Lobe,23,23b,subregion of posterior cingulate cortex
363,13m,orbital prefrontal area,140.0,prefrontal,Frontal Lobe,13,13m,orbital prefrontal area
364,9m,dorso-medial prefrontal area,114.0,prefrontal,Frontal Lobe,9,9m,dorso-medial prefrontal area
365,EI,"entorhinal cortex, intermediate division",50.0,temporal,"Temporal Lobe
",ENTORHINAL,EI,"entorhinal cortex, intermediate division"
366,RPB,rostral parabelt region of the auditory cortex,76.0,auditory,"Temporal Lobe
",PARABELT,RPB,rostral parabelt region of the auditory cortex
367,13a,orbital prefrontal area,142.0,prefrontal,Frontal Lobe,13,13a,orbital prefrontal area
368,AONd/m,"anterior olfactory nucleus, dorsal and medial division",,,,,,
369,F3,agranular frontal area F3 (or SMA),105.0,frontal,Sensorimotor Cortex,PRESMA,F3,agranular frontal area F3 (or SMA)
370,R,"rostral, core region of the auditory cortex",66.0,auditory,"Temporal Lobe
",CORE,CORE,"rostral, core region of the auditory cortex"
371,V6,visual area 6 (or area PO),22.0,parietal,Parietal Lobe,V6,V6,visual area 6 (or PO)
372,TFO,area TFO of the parahippocampal cortex ,57.0,temporal,"Temporal Lobe
",PARAHIPPOCAMPAL,TFO,area TFO of the parahippocampal cortex
373,V4v,"visual area 4, ventral part",7.0,occipital,Occipital Lobe,V4,V4v,"visual area 4, ventral part"
374,46v,ventro-lateral prefrontal area in the ventral bank and lip of the principal sulcus (ps),116.0,prefrontal,Frontal Lobe,46,46v,ventro-lateral prefrontal area in the ventral bank and lip of the principal sulcus (ps)
375,5_(PEc),superior parietal lobule area (or area PEc),27.0,parietal,Parietal Lobe,5,PEc,superior parietal lobule area (or 5)
376,TGdd,dysgranular part of the dorsal temporal pole,59.0,temporal,"Temporal Lobe
",POLE,TGdd,dysgranular part of the dorsal temporal pole
377,35,area 35 of the perirhinal cortex,38.0,temporal,"Temporal Lobe
",PERIRHINAL,35,area 35 of the perirhinal cortex
378,A1,"auditory area 1, core region of the auditory cortex",67.0,auditory,"Temporal Lobe
",CORE,CORE,"auditory area I, core region of the auditory cortex"
379,Ial,lateral agranular insula area,128.0,prefrontal,Frontal Lobe,Agranular insula,Ial,lateral agranular insula area
380,7m_(PGm),medial parietal area (or PGm),28.0,parietal,Parietal Lobe,PGm,PGm,medial parietal area (or 7m)
382,v23b?,subregion of posterior cingulate cortex or transition area?,,,,,,
383,23c,subregion of posterior cingulate cortex,89.0,cingulate,Limbic Lobe,23,23c,subregion of posterior cingulate cortex
