Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio,lobe,info
1,15040010,lh__bankssts__1,Left,-56,-36,4,lh_bankssts,1,Temporal_Mid_L,1.0,"Superior Temporal Gyrus, posterior division_Left",0.644736842,Left_STG,0.697368421,L_rpSTS,0.960526316,L_STSdp_ROI,0.743421053,7Networks_LH_Default_Temp_5,0.960526316,7Networks_LH_Default_Temp_9,0.644736842,Left Default,0.973684211,Left Temporal Parietal,0.907894737,Temporal,
2,7487760,lh__bankssts__2,Left,-59,-45,10,lh_bankssts,1,Temporal_Mid_L,0.536423841,"Supramarginal Gyrus, posterior division_Left",0.880794702,Left_STG,0.920529801,L_rpSTS,0.470198675,L_STV_ROI,0.589403974,7Networks_LH_Default_Temp_5,1.0,7Networks_LH_Default_Par_1,0.801324503,Left Somatomotor,0.933774834,Left Temporal Parietal,1.0,Temporal,
3,14327164,lh__bankssts__3,Left,-53,-48,15,lh_bankssts,1,Temporal_Mid_L,0.5,"Supramarginal Gyrus, posterior division_Left",0.6875,Left_STG,0.544642857,L_cpSTS,0.839285714,L_STV_ROI,1.0,7Networks_LH_Default_Temp_5,0.910714286,7Networks_LH_Default_Par_1,0.9375,Left Default,0.830357143,Left Temporal Parietal,1.0,Temporal,
4,10416606,lh__bankssts__4,Left,-61,-45,3,lh_bankssts,1,Temporal_Mid_L,0.991561181,"Middle Temporal Gyrus, temporooccipital part_Left",0.776371308,Left_MTG,0.886075949,L_rpSTS,0.510548523,L_STSvp_ROI,0.70464135,7Networks_LH_Default_Temp_4,0.556962025,7Networks_LH_Default_Temp_6,0.721518987,Left Default,0.978902954,Left Default B,0.713080169,Temporal,
5,654194,lh__bankssts__5,Left,-59,-56,11,lh_bankssts,1,Temporal_Mid_L,0.835294118,"Middle Temporal Gyrus, temporooccipital part_Left",0.694117647,Left_MTG,0.788235294,L_A37dl,0.529411765,L_TPOJ2_ROI,0.670588235,7Networks_LH_Default_Par_1,0.917647059,7Networks_LH_SalVentAttn_TempOcc_1,1.0,Left Salience / Ventral Attention,1.0,Left Temporal Parietal,0.952941176,Temporal,
6,15401290,lh__bankssts__6,Left,-56,-58,13,lh_bankssts,1,Temporal_Mid_L,0.952380952,Angular Gyrus_Left,0.587301587,Left_MTG,0.753968254,L_A37dl,0.587301587,L_TPOJ2_ROI,1.0,7Networks_LH_Default_Par_1,0.849206349,7Networks_LH_SalVentAttn_TempOcc_1,0.76984127,Left Salience / Ventral Attention,0.976190476,Left Temporal Parietal,0.761904762,Temporal,
7,10876713,lh__bankssts__7,Left,-59,-53,8,lh_bankssts,1,Temporal_Mid_L,0.932098765,"Middle Temporal Gyrus, temporooccipital part_Left",0.907407407,Left_MTG,0.888888889,L_cpSTS,0.592592593,L_PHT_ROI,0.87654321,7Networks_LH_Default_Temp_5,0.87654321,7Networks_LH_SalVentAttn_TempOcc_1,0.99382716,Left Salience / Ventral Attention,0.87654321,Left Temporal Parietal,0.919753086,Temporal,
8,6623604,lh__bankssts__8,Left,-52,-49,18,lh_bankssts,1,Temporal_Mid_L,0.692307692,"Supramarginal Gyrus, posterior division_Left",0.353846154,Left_STG,0.476923077,L_cpSTS,0.876923077,L_STV_ROI,1.0,7Networks_LH_Default_Par_1,0.646153846,7Networks_LH_Default_Par_1,0.876923077,Left Default,0.892307692,Left Temporal Parietal,0.830769231,Temporal,
9,3640560,lh__bankssts__9,Left,-62,-37,7,lh_bankssts,1,Temporal_Mid_L,0.798611111,"Superior Temporal Gyrus, posterior division_Left",0.923611111,Left_STG,0.784722222,L_rpSTS,0.736111111,L_TPOJ1_ROI,1.0,7Networks_LH_Default_Temp_5,0.958333333,7Networks_LH_Default_Temp_9,0.902777778,Left Somatomotor,0.708333333,Left Temporal Parietal,0.944444444,Temporal,
10,8088665,lh__bankssts__10,Left,-58,-54,9,lh_bankssts,1,Temporal_Mid_L,0.949367089,"Middle Temporal Gyrus, temporooccipital part_Left",0.924050633,Left_MTG,0.860759494,L_cpSTS,0.620253165,L_PHT_ROI,0.696202532,7Networks_LH_Default_Par_1,0.46835443,7Networks_LH_SalVentAttn_TempOcc_1,1.0,Left Salience / Ventral Attention,1.0,Left Temporal Parietal,0.949367089,Temporal,
