label (Left),lobe,level 1 / ROI,abbr.,level 2 / Finer,abbr..1,Modified Cytoarchitectonic,lobe_adj,lobe_new,info
124,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, retrosplenial, caudal part",CG.RSc,"29/30, caudal part",Limbic,Limbic,0.9437229437229437
123,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, retrosplenial intermediate part",CG.RSi,"29/30, intermediate part",Limbic,Limbic,0.8733905579399142
122,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, retrosplenial rostral part",CG.RSr,"29/30, rostral part",Limbic,Limbic,0.6307692307692307
121,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, ventrocaudal part",CG.vc,23,Limbic,unspecified,"Limbic      0.551
Parietal    0.373
Name: 121, dtype: float64"
120,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex,  dorsocaudal part",CG.dc,"23a/23b, caudal part",Limbic,Limbic,0.8004983647406947
119,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, intermediate ventrocaudal part",CG.ivc,"23a/23b, rostral part",Limbic,Limbic,0.8095764272559853
118,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, intermediate ventrorostral part",CG.ivr,24a/24b,Limbic,Limbic,0.7878524945770065
117,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, intermediate dorsocaudal part",CG.idc,23c/24d,Limbic,unspecified,"Limbic     0.633
Frontal    0.231
Name: 117, dtype: float64"
116,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, intermediate dorsorostral part",CG.idr,24c,Limbic,unspecified,"Frontal    0.594
Limbic     0.223
Name: 116, dtype: float64"
115,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, dorsorostral part",CG.dr,"24c, rostral part",Limbic,unspecified,"Frontal    0.488
Limbic     0.475
Name: 115, dtype: float64"
114,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex,  intermediorostral part",CG.ir,32,Limbic,unspecified,"Limbic     0.493
Frontal    0.409
Name: 114, dtype: float64"
113,Limbic Lobe,Cingulate Cortex,CG,"cingulate cortex, ventrorostral  part",CG.vr,25,Limbic,Limbic,0.9068994181213632
112,Insula Cortex,Insula Cortex,INS,"insula cortex, caudal part",INS.c,"Ig, caudal part",Insular,Insular,"Insular     0.526
Temporal    0.347
Name: 112, dtype: float64"
111,Insula Cortex,Insula Cortex,INS,"insula cortex, caudointermediate  part",INS.ci,"Ig, rostral part",Insular,Insular,0.9554884949075821
110,Insula Cortex,Insula Cortex,INS,"insula cortex, ventral part",INS.v,Ip/Id,Insular,Insular,"Insular     0.525
Temporal    0.378
Name: 110, dtype: float64"
109,Insula Cortex,Insula Cortex,INS,"insula cortex, rostrointermediate part",INS.ri,Id,Insular,Insular,0.7915949018256976
