ind,Structure
1,L_bankssts
2,L_caudalanteriorcingulate
3,L_caudalmiddlefrontal
5,L_cuneus
6,L_entorhinal
7,L_fusiform
8,L_inferiorparietal
9,L_inferiortemporal
10,L_isthmuscingulate
11,L_lateraloccipital
12,L_lateralorbitofrontal
13,L_lingual
14,L_medialorbitofrontal
15,L_middletemporal
16,L_parahippocampal
17,L_paracentral
18,L_parsopercularis
19,L_parsorbitalis
20,L_parstriangularis
21,L_pericalcarine
22,L_postcentral
23,L_posteriorcingulate
24,L_precentral
25,L_precuneus
26,L_rostralanteriorcingulate
27,L_rostralmiddlefrontal
28,L_superiorfrontal
29,L_superiorparietal
30,L_superiortemporal
31,L_supramarginal
32,L_frontalpole
33,L_temporalpole
34,L_transversetemporal
35,L_insula
