,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
1,0.07049545912097008,0.0023242332598548674,0.00020714859612262865,0.23220882946099555,0.1310112438017478,0.01775670051190034,0.12329687946155343,0.04975555880605421,0.04236451517290523,0.05768388656118423,0.013146298052971687,0.03734877429800564,0.014274289711402856,0.006343085905352075,0.003832256082137925,0.011618822944758958,0.09715887447657104,0.0036774379485487924,0.018572024975590712,0.0051375943963790725,0.038782439972264264,0.006685538642254107,0.016318107840474605
3,0.07070576714797167,0.0025698806567976073,0.00017421831962154347,0.24088412220428873,0.13365546526300168,0.01681494393027595,0.11232819025444916,0.0464042628182797,0.041367888408276654,0.05605352019975523,0.011019641034586523,0.03376713368743474,0.014429493068255484,0.005749746313268459,0.0033308478448775204,0.011815786773223043,0.11307892297912006,0.003244482745592422,0.018468200845671034,0.005129053024131705,0.03637875251733335,0.006397190468430629,0.016232489495356935
5,0.06309082258980603,0.002823727907708623,0.00043549541210037145,0.2458520163662342,0.14728060320460545,0.017056579691063257,0.12096226038078525,0.0495988081487026,0.04140932207789494,0.05906597666642895,0.012030663457224736,0.03657537822560037,0.013497658293826126,0.005365205579321273,0.0034026914773479743,0.010664313179146682,0.08068543652749878,0.0032581907295199312,0.017575626256369062,0.0055825218856758235,0.03846369342646289,0.008777110541512163,0.016545897975164668
7,0.07325791396530416,0.0025316199531473407,0.00018980442935856974,0.24070881858593413,0.12915502096095874,0.01670573815783215,0.11001224354257032,0.046103455575422364,0.040420177655559934,0.05456127508539734,0.011084440994476702,0.032572014982910256,0.014915620610354572,0.005961211789106836,0.003655853222718592,0.012082976425169617,0.11845600373846966,0.003343998245946366,0.018741578525743853,0.005025314197479107,0.036285946201371454,0.007625254559538531,0.0166037185952295
9,0.07434860732137877,0.002271146437645599,0.000569226196937718,0.23361375760756375,0.11965735041053868,0.019079364550942852,0.11336194364655187,0.045924306792067604,0.04149743257018969,0.05756686821510434,0.012750349851394742,0.03472811390416368,0.014250193248813575,0.0060187568427196615,0.003553223836644157,0.012087263513973453,0.12100235964566088,0.0034701088864080793,0.019510179241290074,0.004673016803711296,0.03684182167181809,0.007131690240939323,0.01609291856354225
11,0.0678034663745725,0.002471295383025074,0.0002240237449126761,0.23189364623430353,0.1356867373207611,0.017243088033423948,0.12392328057263062,0.05145496057306878,0.043300563151140975,0.0604304644427505,0.013095395033399976,0.04058865722171299,0.013952526897945433,0.006170152897169006,0.003693989710583812,0.01160400336558615,0.08513377856105135,0.0035462681564531417,0.018263395246027336,0.005631576901216066,0.04023256852108745,0.007122267909976644,0.016533893747200816
13,0.05887441318315827,0.002675249810877913,0.0003373464601391837,0.23645755187688067,0.15429624109738993,0.015383728044097824,0.12555367076853358,0.057473122582346575,0.04017160300954337,0.05930530411972469,0.013240322601831002,0.04232290722915218,0.012405209183370729,0.005387667387417411,0.004309231756747455,0.010561432529493403,0.06496966360332537,0.003345643477370566,0.017459467125303076,0.006438594770718421,0.04224014459657279,0.009900955790952114,0.01689052899505336
15,0.05959033986924584,0.0028662332499057377,0.00038187650770364867,0.25667905733447377,0.16108635704349933,0.0139631309750354,0.12186851292095037,0.048463112180787284,0.037120092372270756,0.05224888313628758,0.010963505051615988,0.03353218635089219,0.012674676083624629,0.00482887542287771,0.003843289431507796,0.009888712387737985,0.08254911174094624,0.0030954630148171203,0.01685714187609141,0.005389934958232767,0.037689512528563,0.007805180152077963,0.016614815410855414
17,0.07154109158488829,0.0025791359546935783,0.0001633447803294522,0.26381394152888354,0.1359097447407135,0.01512861164681312,0.10787886000604832,0.0429919915735804,0.03840649744368115,0.05247136323604132,0.012191643732835246,0.03180894089882491,0.014379662599714939,0.005339293904591763,0.00318453269828413,0.01189553190459535,0.10461663776711569,0.0030797775646888882,0.01740146086164482,0.005548494381952519,0.03521990771728028,0.007945213079258438,0.016504320393540228
19,0.05506593263151963,0.0029478947095169074,0.00023155201163374412,0.26023443907054034,0.17490336281139576,0.010722705442242547,0.1285674254198618,0.04922588146255236,0.03370472458918154,0.0482414630059448,0.01185849014611698,0.03323743497850065,0.012565524867763148,0.0048997338475576255,0.004011943056100083,0.009845515573628004,0.06895421256808083,0.0032028391378048065,0.01646716491760348,0.006147411785733932,0.038452234491914664,0.008334222293893632,0.018177891180912918
21,0.057722572133904027,0.0028419712268791903,0.00021373330379768928,0.2667125405114846,0.16968506872947828,0.010730381984157501,0.12370919930273104,0.046750936416329596,0.03484766074883013,0.047978133481895606,0.011298012968395414,0.032110104911656175,0.012780925015950411,0.004596291024557467,0.0037899772022751397,0.009912008334412777,0.08073832929755265,0.002984675146437559,0.016142364728111147,0.005805815906432518,0.0355783378415918,0.005985034047984065,0.017085925735155206
23,0.07153516112684372,0.002625153963144123,0.00016068330386560578,0.2473328954369409,0.13391027292478144,0.016013186698324886,0.10889035838960369,0.04494784846236605,0.04009118705330139,0.054142690076030696,0.010764897714652255,0.03226024918679158,0.01457516694435254,0.005614202198392006,0.003359174761576797,0.011904082889597696,0.1161324036467891,0.0031627179034344898,0.018282364064020153,0.005182519315871303,0.03577316382839069,0.006849802380796489,0.016489817730132538
25,0.07382323173786931,0.0025983669777043528,0.00018090652389994135,0.24529920399703387,0.12914723470856995,0.016303311670825212,0.10626017507313176,0.044823806347256016,0.03973858984656804,0.05358558282743948,0.010697564585318326,0.031237621291128892,0.015035000358723509,0.005821428156973913,0.0035818012811194657,0.012177668816258508,0.12238498919722988,0.0032434954785165292,0.01868932584910153,0.0050378734234341645,0.03568089455812937,0.007939125988244663,0.01671280130552331
27,0.05277476457640874,0.0027631756554348957,0.00022283621522512631,0.2605793538694421,0.17460095085353916,0.009508366393584664,0.129309229096767,0.05033702945393868,0.033460538863417016,0.049226875944653595,0.013226257412824568,0.03505949750064861,0.012659861536797289,0.00518923525317393,0.0036958696934424468,0.00984748550946985,0.06831954388868668,0.0031920402070459877,0.015566727588647307,0.006480232213235685,0.03870842089199973,0.007157983148273519,0.018113724233343547
29,0.069590546020574,0.0024851973908376255,0.0002414632570814773,0.2919420855064824,0.1441528225737852,0.01333641058437756,0.10535869362267401,0.03952328164688591,0.03662534642060902,0.05047172390936124,0.015141594633982434,0.0320861746327405,0.013417910638604093,0.004722464986006191,0.0028089246888269945,0.011899924616309648,0.08413765347881581,0.002793321190611637,0.015695872051254438,0.006088146153715434,0.03395473039251591,0.007614563774077228,0.015911147829871145
31,0.06490059415145337,0.002705714384284638,0.00021577078741643677,0.26969978556316476,0.15313353757315262,0.012114736626676467,0.11487723917233096,0.044568146206244275,0.03744009766590705,0.05309748424399826,0.0160576884002681,0.03392328751546849,0.01317157369083552,0.004437308667261991,0.004759694104303461,0.011895519616249092,0.08173621250257448,0.0028933212252407192,0.015710102862375182,0.006117906744085318,0.03377332006952953,0.006597918734178143,0.016173039493001286
33,0.068023025173951,0.002602570776417288,0.00019937354251296113,0.2802387435963262,0.1447559980240832,0.01296585157849147,0.11105804469632782,0.04195529025331259,0.036985957394797125,0.05335936996024141,0.01788778540250432,0.03356201613070586,0.013123156085700286,0.0045691790535538155,0.004322539418148692,0.012248949185874844,0.07717608957660915,0.0029360675206502353,0.015638354861753002,0.006220548638412916,0.035226539874904816,0.008555209851851413,0.016389339402869536
35,0.058108729914396307,0.002809202756157542,0.00020676883048785678,0.26575260047289445,0.1664807691594783,0.010410971729257855,0.12085392209675819,0.048548129485239636,0.03516931311659429,0.051213052199671434,0.01631767673428438,0.033802960288939914,0.013166844669832626,0.004874773714242936,0.004822602405290675,0.011134080283910152,0.06906413245589794,0.0030477444452866698,0.015407083348588004,0.006631025494433426,0.03665292896327631,0.007426558263285728,0.018098129171795364
