,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
1,0.012450711689465179,0.05804474743150433,0.0023242332598551233,0.00020714859612265145,0.0034016054128392552,0.006301226810727787,0.011379688295203066,0.06198694417819329,0.018924234370014816,0.1047372769009503,0.016422833500609055,0.009055019992440542,0.03374209728568957,0.06859142938241874,0.02867771713365258,0.01775670051190229,0.01720124139655812,0.03568693061474785,0.04402303138245499,0.012386048979624455,0.01399962708816152,0.00124277173269663,0.04851278707334741,0.02640784014626511,0.015956675026639607,0.013146298052973132,0.00270828168471798,0.028112587651572412,0.026863017224894717,0.014152431895961198,0.017873978552622693,0.005322363849431938,0.008569783839121962,0.005704505872284715,0.006343085905352772,0.0037556811168158338,7.657496532244947e-05,0.011618822944760236,0.00036143499248084154,0.09679743948409322,0.0014992551390013633,0.0021781828095481107,0.0010921865576581414,0.0005361093159635153,0.004091627241594667,0.007532485702076849,0.0053196161582940845,0.00026476398347404444,0.0032233193268934282,0.0016438965112517024,5.6145747587336005e-06,0.0045239288781069725,0.0013023497838737833,0.002090477346349731,0.0026175512405233058,0.003440925718804655,0.003275662322597011,0.009666991059675101,0.00025872628759559656,0.0017555883690773878,0.00985023896566006,0.006685538642254843,0.00033136178813715603,0.0022076923498728016,0.001447800073034133,0.0012548832974314573,0.0009100406475373417,0.0021802268637661592,0.00206938891958987,0.004931865462073491,0.000984848439034098
3,0.012304591665688227,0.058401175482288854,0.0025698806567977742,0.00017421831962155477,0.0023193267921943037,0.0052803310383434205,0.010627646275535172,0.07900097607322148,0.014017703223411108,0.1056368799371387,0.017689171514986796,0.0063120873494278236,0.027450856035398558,0.07062492330256527,0.035579685925052534,0.01681494393027704,0.018733697103826406,0.028050545344877713,0.04260107282270816,0.013281288337781888,0.009661586645257748,0.0011477967351289143,0.04525646608314186,0.02752127846102698,0.013846609947245103,0.011019641034587236,0.0015294423724580167,0.030058329342142705,0.024465748485152372,0.012752133663458716,0.015103675392728614,0.0059113246312485195,0.007921687120097115,0.006507805948162309,0.005749746313268832,0.003221742922166993,0.00010910492271012686,0.01181578677322381,0.00048126931580290026,0.11259765366332501,0.001236370204290186,0.002008112541302308,0.0011035405868204562,0.00048596001123433206,0.003976399775101239,0.00830655856912843,0.004595741903390417,0.0002393109748287729,0.003502958652721823,0.0013708625448742757,1.5920851706513747e-05,0.00390748075716183,0.0013737696549099554,0.002112254212705255,0.0025278946551699198,0.0036675191062742534,0.0032870358938427327,0.007921035938200658,0.0002049928919688071,0.0015849101025940966,0.009791859304504472,0.006397190468431044,0.0003347173475625774,0.0021887130980934224,0.001165241903187986,0.001181950737530147,0.001116967437986957,0.0020530880561987165,0.0023402767067833897,0.00471341584563889,0.0011381183623793219
5,0.012835126794853628,0.05025569579496089,0.0028237279077085687,0.0004354954121003631,0.003011888073227347,0.007398909725623728,0.012158870047393536,0.0699140572072531,0.01880191989880274,0.107674906027948,0.01774577656330228,0.009145688822675382,0.03484718403658415,0.07718766842890037,0.03524575073912207,0.01705657969106293,0.01946437305955095,0.030734330656009216,0.048086114620458725,0.012328219524260246,0.010349222520504396,0.0015135706669764382,0.048085237481716336,0.02824770991932637,0.0131616121585728,0.012030663457224505,0.0024365955701353185,0.03095312218576339,0.025676258910531238,0.014212686183092849,0.0168489486816249,0.005513743360883733,0.007497500401836837,0.006000157891990659,0.00536520557932117,0.003223265832886795,0.00017942564446113852,0.010664313179146477,0.00041207030181616364,0.08027336622568484,0.0012583290358638127,0.0019998616936560596,0.0010817327906136257,0.0004644761801436626,0.004092495083988666,0.007563466560101609,0.004373455641519268,0.00033309480418121514,0.003736074490923172,0.0014933145843812263,2.00380061894938e-05,0.003955992108947025,0.001288670279881571,0.0020017471725225417,0.00248289723481523,0.004671534376856543,0.003504100342192372,0.008478915698704325,0.00021425661033716835,0.0016827327283299965,0.01018284687388036,0.008777110541511993,0.00037706806450340185,0.0020035433927814445,0.0008630248795312662,0.0013940648904168635,0.0010351632062387851,0.00202702327260659,0.0020599062045447837,0.005357100252823976,0.0014290038117169333
7,0.013007185291986242,0.060250728673331914,0.002531619953147586,0.00018980442935858814,0.0025293018400334316,0.005174209565913008,0.01031734753495717,0.079188936552357,0.013928961587941545,0.10627045947122932,0.017183362086217905,0.006116239947235261,0.02584051166936744,0.06883716393501485,0.034477345356583956,0.01670573815783377,0.017619499330445317,0.02788525416258588,0.04150363767235324,0.012967312203335711,0.010036540173847029,0.0011036465372936191,0.04499980903811689,0.026474551385997917,0.013945626269558925,0.011084440994477775,0.00151898462778384,0.02900216767804684,0.02404012277957899,0.011928471580496718,0.015095977082600572,0.005547566319817993,0.008315840593931752,0.006599780016429971,0.005961211789107414,0.003526440428646618,0.000129412794071687,0.012082976425170788,0.0006034313423577874,0.11785257239612161,0.001240059056247594,0.0021039391896995794,0.0010895700576891397,0.0005259340197065722,0.0038427467258993183,0.008437977808765859,0.004845349913684883,0.0002326966541305327,0.003396836316257453,0.0013920568168583971,3.7244102328104463e-06,0.003853130567405903,0.0014000236123623965,0.002120364263133363,0.0025057456159989886,0.0035305223919376207,0.003249816714798437,0.007902877912241426,0.00022739989791218724,0.0016072798920508113,0.009888785333529543,0.00762525455953927,0.00036025493105868817,0.002325141791251405,0.001349409942281002,0.0012020427187251737,0.0010958276869424493,0.002108607649774455,0.0024400608169149324,0.004656924426897281,0.001065448631388738
9,0.01369972106064445,0.06064888626073426,0.0022711464376457633,0.0005692261969377592,0.0027006204097445342,0.005440054005914428,0.011433860967430605,0.07036293336892278,0.01564594667486832,0.10632186089849795,0.015014863068255273,0.006693618213908995,0.027660957122696717,0.06204466441886375,0.029951728868980575,0.019079364550944233,0.017069858123915288,0.030779917510513725,0.0410179601883497,0.012707838678500977,0.011786369145283172,0.0012474463686617707,0.044676860423404664,0.027341258483236063,0.01415617408695072,0.012750349851395665,0.0019286773261615701,0.03062130547671932,0.025016885412227085,0.012688893564556838,0.016408968546934213,0.00563025179267827,0.008184125388185845,0.006066067860629521,0.006018756842720097,0.0034040014179543302,0.0001492224186900902,0.012087263513974328,0.0005048642250203508,0.12049749542063237,0.0012845061472708543,0.0021856027391376556,0.0013682003794151729,0.0004913943387845085,0.0037052183922407227,0.00888143402509598,0.005063932105755521,0.00027701359826975725,0.003003694244791132,0.001389167507163588,3.1414534870133427e-06,0.004058046758169405,0.001286709913635523,0.0023303068315211044,0.002455110322626073,0.003479908222230919,0.0034201763209696008,0.008958750813789301,0.00026119350376087384,0.0016506555503755004,0.008940963434741189,0.007131690240939839,0.00033380908973944056,0.0023009769349382632,0.0013596156937534763,0.0012496857400847766,0.0008825310227872414,0.002013326011487833,0.0022216610012843196,0.004546038765796517,0.0011852743036707893
11,0.012130054755584476,0.05567341161899054,0.0024712953830250245,0.0002240237449126716,0.0034889574956374456,0.007182247869267178,0.011256709641080803,0.0586661954589765,0.022481844105162383,0.10206125230351304,0.016033092199652224,0.010723347161002109,0.03602482088161855,0.07090204304416635,0.028759873394985803,0.017243088033423604,0.017684539434174303,0.03603666229875588,0.044627041118991545,0.012048598335517077,0.0135264393851963,0.0014186385980028949,0.05003632197505643,0.026811538998417598,0.016489024152721746,0.013095395033399715,0.003781910840201632,0.028010708847404184,0.028637844755143613,0.016365523000496325,0.018933189795637462,0.005289944425579732,0.00836661273889967,0.005585914159048288,0.0061701528971688825,0.003625952477927777,6.803723265576217e-05,0.011604003365585919,0.00033508564436179254,0.08479869291669329,0.0014622929637353153,0.0020839751927179176,0.0011010114600631842,0.0005460833369879522,0.004434397633368578,0.007055088626870305,0.0051268141887362674,0.0003145174307222952,0.0035500061470186517,0.0017547324356014778,1.232088787205128e-05,0.004552137890216111,0.0012981717275732235,0.002074592103221589,0.0026784486335764994,0.0039052788084203726,0.0033348792184277848,0.010008995147372473,0.00025200539616574016,0.00182473123422823,0.010303328361888351,0.007122267909976502,0.0003623775038685684,0.002108711271351386,0.0013537057407007934,0.001254063487755988,0.0009472319290418636,0.0021746539717243654,0.0020080981648724835,0.0052836075839285115,0.0010414440939580823
13,0.012387247775352819,0.04648716540780313,0.002675249810877899,0.0003373464601391819,0.004653691005439468,0.009045303764800101,0.011710042680310504,0.049885660867244316,0.029869852270981535,0.10345163768082888,0.01370890484117047,0.014132458766112162,0.04119159669121631,0.08457058247403341,0.02853406193212225,0.015383728044097744,0.020046981969321285,0.03350615973282254,0.049681954079275836,0.011678958801142308,0.01063961618599148,0.0019804081767979135,0.055492714405543576,0.02494613425413018,0.015225468755415547,0.013240322601830933,0.005033745700303539,0.02618997451758305,0.028081583901838524,0.018004071899958774,0.01998952235904311,0.004329312970147649,0.007277546506925971,0.00512766267644402,0.0053876673874173825,0.0041655797131047115,0.0001436520436426048,0.010561432529493348,0.0002934378860818886,0.06467622571724264,0.001307449816769154,0.002038193660601372,0.000992526657321907,0.0005811699615294141,0.00475098728959116,0.0063542212318262485,0.004780561985032212,0.0004788111657415773,0.0039453928646221515,0.0019694656742832136,4.4925066071273663e-05,0.004387378646659216,0.0009393804733251272,0.0015676903403218086,0.0028904090359357544,0.005768015802864415,0.0040404616999932695,0.009982720742346485,0.00024005931108944935,0.002051744038018722,0.010372284506022027,0.009900955790952062,0.00044785684355085287,0.0020419164402050455,0.0009722345155415531,0.0012824713101555877,0.0009129931070728641,0.002119788978956562,0.001785924208888557,0.006132616355706252,0.0011947272349754603
15,0.01239699404249446,0.04719334582675617,0.0028662332499057633,0.0003818765077036521,0.0027649378871581554,0.006509299157004563,0.012974057252879825,0.07380310304343012,0.015566667698628876,0.11986626215507086,0.017126133580983572,0.008068596559280838,0.03213148031725012,0.09113331189581074,0.03782156483046034,0.013963130975035525,0.020846892100788553,0.026293727609247808,0.053243977787959154,0.014245934808701195,0.007237980614261482,0.0014790018548672497,0.04698411032591907,0.026186487225570567,0.010933605146702288,0.010963505051616085,0.0015677447339641948,0.029749955763589325,0.020931182638735963,0.012654958501468232,0.01528278815703689,0.0055944396923880285,0.0067119486831081245,0.005962727400515703,0.0048288754228777535,0.0037051376024094056,0.00013815182909813556,0.009888712387738073,0.0003890599311954117,0.08216005180974376,0.0011269020151384141,0.0019685609996790364,0.0009730898561115958,0.0003949546161983209,0.0037660878595717167,0.007753426762371518,0.0039695827818392185,0.0003335682941614808,0.003572146048609873,0.0014494543999160128,3.4766215545355496e-05,0.003598887112974098,0.0011045758012981604,0.001838475595462695,0.002627267778201062,0.005137989467959242,0.004337525893826751,0.007656326273181921,0.00019368369819702778,0.0016150073065264543,0.009579773600939433,0.0078051801520780326,0.00040460794016125974,0.0020879040834495296,0.0007283086612631006,0.0014189847487640214,0.0010743759018597054,0.0020216642726523,0.002076000768725908,0.005426634076817062,0.0013763349571637796
17,0.013470996065407257,0.05807009551947991,0.002579135954693697,0.00016334478032945977,0.0021433287275335958,0.0054328312856707535,0.012667616253127323,0.08066501515205081,0.013862735244965457,0.1258855642056228,0.01717227690908703,0.005984573750819019,0.026536078981503924,0.07383682383322823,0.035536841925995134,0.01512861164681382,0.018126391945700846,0.025736645295000873,0.04249625722409404,0.013453833488270716,0.008065732052965102,0.0010785434237877577,0.041913448149784496,0.026001520956311065,0.012404976487364723,0.01219164373283581,0.0011775565456095519,0.028531967491227564,0.02276183919921206,0.011776454765041421,0.014284238260177167,0.0057482478736106965,0.00811182856349151,0.006267834036229008,0.00533929390459201,0.003062874074990881,0.00012165862329275803,0.011895531904595899,0.0005224629521749331,0.10409417481494483,0.0010761669884497478,0.0020036105762396565,0.0009313847125551886,0.0004404973964094182,0.0035642931240435216,0.008214991188204797,0.004250294440431937,0.00025031795647981577,0.0037407398999128715,0.001544014030182065,1.3422495377217253e-05,0.0033615320357374633,0.001321089663754313,0.001892751380605773,0.002586246057636208,0.0036998544718233133,0.004034647070406143,0.007339817514422595,0.00021775500632679952,0.0016135734778510175,0.009152641038715515,0.007945213079258806,0.0003568172019693091,0.0022859493711386435,0.001090761206305788,0.0013443057415136234,0.0010747027402736753,0.002090001480998087,0.0023590547141603265,0.004775706242870347,0.00112702169431196
19,0.011936485202854322,0.043129447428649825,0.002947894709516866,0.00023155201163374087,0.002962564230274172,0.006956290581829846,0.014562258435818088,0.06629861571975422,0.01720677275541416,0.12789191900269523,0.015451533564720888,0.008904484780011926,0.0371820521191669,0.10136203058162553,0.03635928011063804,0.010722705442242396,0.022480974323470734,0.02692200076699771,0.0549496638054134,0.01759620835582951,0.006618578168145204,0.0015409600511134855,0.04768492141143979,0.02386561350692714,0.00983911108226022,0.011858490146116816,0.0016101986198907283,0.02722237878424317,0.01940888560181699,0.012477166889721565,0.01542212414900815,0.005338143939765909,0.006815769922831196,0.00574975494493212,0.004899733847557557,0.003939050547589821,7.289250850990474e-05,0.009845515573627867,0.00023739548944782553,0.06871681707863078,0.0011239070453473135,0.0020789320924574756,0.0008725615165628731,0.0003194698355973653,0.003767217121891743,0.007639580013561927,0.003868336429992346,0.00046963697478138994,0.0039640715390409165,0.0016612576530247694,5.244561888655138e-05,0.003310881161763454,0.0009538359125826435,0.0015043301178100862,0.0028091854414375897,0.005988304857823515,0.005427569386778632,0.007337724788300506,0.0001794044299262575,0.0016477284668543887,0.009293269928635967,0.008334222293893516,0.0004345871326100975,0.002280086851253295,0.000842743813755339,0.001560092950012888,0.0011411733812479916,0.0024238826436409735,0.00229103038486244,0.0060080008761670915,0.0011962931473651615
