index,l1,l2,l3,l4,l5,l6
1,0.28083962,0.2488712,0.673992,0.21883968,0.48564535,0.601009
2,0.2561736,0.2470147,0.6523752,0.23239854,0.5123507,0.615715
3,0.25680852,0.2517281,0.6725134,0.21856548,0.48704886,0.59587795
4,0.26594046,0.24991265,0.67875737,0.21114244,0.45595706,0.5664166
5,0.24555677,0.24952099,0.65798604,0.22244,0.47715145,0.58889526
6,0.24698417,0.24455658,0.6698723,0.2190996,0.4686203,0.5668043
7,0.2511651,0.25135046,0.6716623,0.22593664,0.48383886,0.61153984
8,0.26113117,0.24754435,0.6882099,0.20956677,0.46882665,0.5680889
9,0.27839231,0.25144362,0.6676668,0.23200005,0.50468725,0.6222439
10,0.24832192,0.2501646,0.6656424,0.22612895,0.48394096,0.6005708
11,0.27065524,0.2493296,0.68444157,0.20855941,0.45531714,0.5656784
12,0.27888644,0.25015062,0.69409764,0.20389035,0.45189813,0.56559056
13,0.2947685,0.25284302,0.69426584,0.20588264,0.4463028,0.55559176
14,0.25669825,0.24718483,0.6444031,0.2305507,0.504985,0.60954463
15,0.2893088,0.25369185,0.695657,0.20139006,0.44644162,0.55925643
16,0.2550621,0.25169033,0.6764096,0.222705,0.47915208,0.60349476
17,0.2808056,0.25561786,0.6842938,0.22824395,0.50794744,0.6240337
18,0.25548223,0.24821231,0.6960098,0.21641706,0.46878147,0.5559071
19,0.28480178,0.25185427,0.6924421,0.2189292,0.49330983,0.6119212
20,0.26243496,0.25129807,0.6798464,0.21615505,0.464903,0.58495986
21,0.27493915,0.25146508,0.67215234,0.22636814,0.5096943,0.6347605
22,0.26371253,0.25229192,0.6718247,0.21078567,0.46696806,0.56943595
23,0.25907475,0.250771,0.6621104,0.22613107,0.46890944,0.5745694
24,0.24944043,0.2456846,0.6779499,0.21817616,0.47719586,0.5694685
25,0.26474133,0.24806543,0.6538928,0.23222384,0.51009595,0.61352295
26,0.29591128,0.25932753,0.7012519,0.20328806,0.44743407,0.5600151
27,0.24499325,0.24672975,0.6609831,0.21940273,0.4737092,0.57971895
28,0.27954724,0.25034475,0.68694764,0.20779294,0.4523456,0.5595716
29,0.2622741,0.25512072,0.66924834,0.23086259,0.48282114,0.5863899
30,0.25366256,0.24819247,0.6837625,0.21687827,0.48303658,0.57454807
31,0.29652882,0.26134795,0.70683265,0.21169272,0.46264648,0.5754421
32,0.27483812,0.25205275,0.6661689,0.23229949,0.5027309,0.60674024
33,0.263298,0.25431547,0.657191,0.22355203,0.4838309,0.5875849
34,0.27003336,0.25281495,0.6751033,0.22668085,0.4620351,0.5619587
35,0.2750681,0.2493997,0.6654817,0.22602257,0.4764758,0.5759834
36,0.24530075,0.24539128,0.65950596,0.22153781,0.47317195,0.5753979
37,0.2523016,0.24870643,0.67379695,0.22261272,0.4786509,0.5727304
38,0.29250425,0.25140607,0.6850185,0.21129297,0.4475294,0.55141014
39,0.26406783,0.25225407,0.67576766,0.22170419,0.4677232,0.5854745
40,0.28364405,0.25126207,0.67370325,0.2199495,0.45217854,0.5517607
41,0.26199287,0.25132626,0.6653303,0.23064676,0.49575108,0.59924674
42,0.26598376,0.25329202,0.66579056,0.22504207,0.4613092,0.5705317
43,0.25072885,0.24630447,0.65790063,0.22436242,0.47323418,0.58475715
44,0.28432435,0.24960652,0.672714,0.22161672,0.47110388,0.57304084
45,0.26820782,0.24993876,0.68104684,0.21373649,0.45750663,0.567106
46,0.27123657,0.2504646,0.67436105,0.21969347,0.45733508,0.56123054
47,0.25721607,0.24915023,0.66230446,0.22458665,0.47099736,0.5922846
48,0.2483761,0.24380329,0.6788701,0.21792278,0.47194055,0.5621568
49,0.29355714,0.26634413,0.7175409,0.21348363,0.46597236,0.57705367
50,0.25743204,0.25338027,0.67472255,0.22360672,0.49024695,0.58998764
51,0.28748268,0.25016594,0.6800438,0.21050553,0.44720653,0.54911846
52,0.2605615,0.25564215,0.66435635,0.22799966,0.4998772,0.60556555
53,0.2754686,0.25010946,0.66542673,0.22541702,0.5034288,0.630399
54,0.2749182,0.23638579,0.5979051,0.15790293,0.46410975,0.59262943
55,0.272579,0.23385572,0.59316546,0.13415773,0.43334156,0.5351266
56,0.28070858,0.24607016,0.6000055,0.13646668,0.42539132,0.54495066
57,0.29487938,0.23660877,0.65055126,0.14309411,0.46544144,0.549027
58,0.28051296,0.2479314,0.596838,0.1517849,0.43881294,0.56883436
59,0.27351254,0.23728505,0.5976658,0.14873306,0.46381786,0.585269
60,0.28330863,0.24720876,0.6081305,0.1644309,0.45369735,0.5825426
61,0.268609,0.23594734,0.5674193,0.12090641,0.41894358,0.52748454
62,0.26557148,0.23097447,0.59318835,0.133455,0.44986308,0.5435533
63,0.28364992,0.24069457,0.6110435,0.15480202,0.46217588,0.584763
64,0.2760587,0.24447198,0.5758478,0.13783741,0.42145702,0.55532295
